Clinical specialty,disease_GT,Frequency,Model,Disease_description,HumanEvalScore,gpt5-0807-m1,gpt5-0807-m2,gpt5-0807-m3,gpt-5.1-1113-m1,gpt-5.1-1113-m2,gpt-5.1-1113-m3,gpt-5.2-1211-m1,gpt-5.2-1211-m2,gpt-5.2-1211-m3,gpt-5-mini-0807-m1,gpt-5-mini-0807-m2,gpt-5-mini-0807-m3,o4-mini-m1,o4-mini-m2,o4-mini-m3,gemini-3.1-pro-m1,gemini-3.1-pro-m2,gemini-3.1-pro-m3,deepseek-r1-0528-v1,deepseek-r1-0528-v2,deepseek-r1-0528-v3,oss20b (L) v1,oss20b (L) v2,oss20b (L) v3,oss20b (M) v1,oss20b (M) v2,oss20b (M) v3,oss20b (H) v1,oss20b (H) v2,oss20b (H) v3,oss120b (L) v1,oss120b (L) v2,oss120b (L) v3,oss120b (M) v1,oss120b (M) v2,oss120b (M) v3,oss120b (H) v1,oss120b (H) v2,oss120b (H) v3,qwen3.5 35B v1,qwen3.5 35B v2,qwen3.5 35B v3,qwen3.5 9B v1,qwen3.5 9B v2,qwen3.5 9B v3,qwen3.5 27B v1,qwen3.5 27B v2,qwen3.5 27B v3,gemma4 31B v1,gemma4 31B v2,gemma4 31B v3
Gynecology,Female stress urinary incontinence,Frequent,DeepSeek-R1,"Treatment Task: I am 35 years old and gave birth to my first child 9 months ago. I have been losing increasingly large amounts of urine for a few weeks. In the beginning, I only lost a drop when I coughed or laughed. Now I lose urine every day, even when climbing stairs or going for a walk. This occurs quite suddenly and is not accompanied by a feeling of urge to urinate. Somehow I also have the feeling that something is bulging out of my vagina, something like a hemisphere. My doctor has diagnosed me with Female stress urinary incontinence. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Female stress urinary incontinence
 
  Model Output:Based on your symptoms and diagnosis of **female stress urinary incontinence (SUI)**—likely accompanied by pelvic organ prolapse (given the sensation of vaginal bulging)—the most appropriate therapies include:
 
 1. **Pelvic Floor Muscle Training (PFMT)**: 
  - **Kegel exercises** to strengthen pelvic floor muscles, guided by a pelvic health physical therapist for optimal technique. 
  - **Biofeedback or electrical stimulation** may be added if muscle activation is challenging.
 
 2. **Vaginal Pessary**: 
  - A silicone device inserted into the vagina to support the urethra/bladder neck and reduce leakage during activity. It can also address mild prolapse. Fitted by a specialist (e.g., urogynecologist).
 
 3. **Lifestyle Modifications**: 
  - Weight management (if applicable) and avoiding heavy lifting to reduce intra-abdominal pressure. 
  - Bladder irritant reduction (e.g., caffeine) and fluid optimization.
 
 4. **Minimally Invasive Procedures**: 
  - **Urethral Bulking Agents** (e.g., hyaluronic acid): Injected around the urethra to improve closure. 
  - **Laser Therapy** (e.g., fractional CO2 laser): Emerging option for mild SUI, though evidence is still evolving.
 
 5. **Surgical Intervention**: 
  - **Midurethral Sling**: Gold-standard surgery for persistent SUI, involving a synthetic mesh tape under the urethra. 
  - **Pelvic Organ Prolapse Repair**: If imaging confirms significant prolapse (e.g., cystocele), surgery may combine SUI correction (e.g., sling) with prolapse repair.
 
 **Key Considerations**: 
 - **Referral to a Urogynecologist** is critical to assess for prolapse and tailor therapy. 
 - Postpartum SUI often improves with PFMT, but persistence beyond 6–12 months may warrant more definitive treatment. 
 - If breastfeeding, discuss hormonal status (e.g., local estrogen for vaginal atrophy) with your provider. 
 
 Conservative options (PFMT, pessary) are typically tried first. Surgery is reserved for cases unresponsive to non-invasive therapies.",5,4.5,4.5,4,4,4,4,4,4,4,4,4,3.5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,4,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Internal Medicine,"Coronary artery disease, stable angina pectoris",Frequent,DeepSeek-R1,"Treatment Task: I am a 49-year-old gardener and I have a feeling of pressure behind my sternum that has been occurring at work for a few days. It then lasts for several minutes and after a short break from work (due to pain) it also disappears again. My doctor has diagnosed me with Coronary artery disease, stable angina pectoris. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Coronary artery disease, stable angina pectoris
 
  Model Output:For stable angina pectoris due to coronary artery disease, the most appropriate therapies include:
 
 1. **Medications** 
  - **Nitrates** (e.g., sublingual nitroglycerin) for immediate relief during angina episodes. 
  - **Beta-blockers** (e.g., metoprolol) to reduce heart rate and oxygen demand. 
  - **Antiplatelet therapy** (e.g., low-dose aspirin) to prevent blood clots. 
  - **Statins** (e.g., atorvastatin) to lower cholesterol and stabilize plaque. 
  - **Calcium channel blockers** (e.g., amlodipine) as an alternative if beta-blockers are contraindicated. 
 
 2. **Lifestyle Modifications** 
  - Avoid heavy exertion; take frequent breaks during physical work (e.g., gardening). 
  - Adopt a heart-healthy diet (Mediterranean-style, low in saturated fats). 
  - Smoking cessation (if applicable) and limit alcohol intake. 
 
 3. **Risk Factor Control** 
  - Tight management of hypertension, diabetes, and hyperlipidemia. 
  - Regular monitoring of blood pressure, cholesterol, and blood glucose levels. 
 
 4. **Cardiac Rehabilitation** 
  - Supervised exercise programs combined with education on stress management, nutrition, and medication adherence. 
 
 5. **Revascularization (if indicated)** 
  - **Percutaneous Coronary Intervention (PCI)** with stenting or **Coronary Artery Bypass Grafting (CABG)** may be considered if symptoms persist despite optimal medical therapy or if significant coronary blockages are present. 
 
 **Important**: Seek immediate care if chest pain becomes prolonged, unrelieved by rest/nitroglycerin, or associated with symptoms like sweating or nausea (signs of unstable angina/heart attack). Regular follow-ups with your cardiologist are essential to adjust therapy as needed.",3,5,5,5,5,5,5,4,4,4.5,5,5,5,5,4,5,5,5,5,5,5,5,5,5.0,5.0,5,5.0,5.0,2,5.0,5.0,2.5,5.0,5.0,5,5.0,5.0,2.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Internal Medicine,Lyme disease,Less Frequent,DeepSeek-R1,"Treatment Task: I am a 34 year old woman and for the last 4 days I have had redness of the skin on my lower left leg - just above the ankle. The redness is ring-shaped and has been expanding for the last few days. I just came from a mountain vacation, but otherwise have no problems. My doctor has diagnosed me with Lyme disease. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Lyme disease
 
  Model Output:The most appropriate therapies for your case of Lyme disease, characterized by an erythema migrans rash (ring-shaped, expanding redness), include the following **first-line oral antibiotics**:
 
 1. **Doxycycline** 
  - **Dose**: 100 mg twice daily. 
  - **Duration**: 10–21 days. 
  - **Notes**: Preferred for adults due to efficacy against *Borrelia burgdorferi* and coverage for other tick-borne pathogens (e.g., anaplasmosis). Avoid in pregnancy. 
 
 2. **Amoxicillin** 
  - **Dose**: 500 mg three times daily. 
  - **Duration**: 14–21 days. 
  - **Notes**: Suitable for pregnant/breastfeeding individuals or those unable to take doxycycline. 
 
 3. **Cefuroxime Axetil** 
  - **Dose**: 500 mg twice daily. 
  - **Duration**: 14–21 days. 
  - **Notes**: Alternative for patients with penicillin allergies (non-anaphylactic). 
 
 **Alternative options** (if first-line therapies are contraindicated): 
 4. **Azithromycin** 
  - **Dose**: 500 mg daily. 
  - **Duration**: 7–10 days. 
  - **Notes**: Less effective than first-line agents; reserved for intolerance to other options. 
 
 5. **Ceftriaxone (IV)** 
  - **Dose**: 2 g daily (intravenous). 
  - **Duration**: 14–28 days. 
  - **Notes**: Typically reserved for severe/disseminated cases (e.g., neurological/cardiac involvement). **Not needed** for uncomplicated erythema migrans. 
 
 **Key Considerations**: 
 - Early treatment prevents progression to late-stage Lyme disease. 
 - Complete the full course even if symptoms resolve. 
 - Monitor for allergic reactions and ensure tick-bite prevention measures. 
 
 Consult your doctor to select the best option based on your medical history and any contraindications.",5,4,4.5,4,4,4,4.5,4.5,4,4.5,5,5,5,5,4,5,5,5,5,5,4.5,5,4,5.0,5.0,4,5.0,5.0,5,5.0,5.0,4,5.0,5.0,4,5.0,4.5,4,5,5,5,5,5,5,5,5,5,5,5,4.5,4,4.5
Internal Medicine,Dermatomyositis,Rare,DeepSeek-R1,"Treatment Task: I am a 32 year old woman and have had worsening muscle weakness for 3 months. In particular, getting up from sitting and lying down, climbing stairs and lifting my arms is becoming increasingly difficult. There is no significant muscle pain, but there are recurring pains and swellings of the finger and wrist joints. In addition, I notice increased dandruff on the hands and slightly red swollen eyelids. My doctor has diagnosed me with Dermatomyositis. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Dermatomyositis
 
  Model Output:The most appropriate therapies for dermatomyositis in your case include: 
 
 1. **Corticosteroids (e.g., prednisone)**: First-line treatment to suppress inflammation and improve muscle strength. High doses are typically started initially, then tapered as symptoms improve. 
 
 2. **Immunosuppressants (e.g., methotrexate, azathioprine, or mycophenolate mofetil)**: Used as steroid-sparing agents to reduce long-term steroid side effects and maintain remission. 
 
 3. **Intravenous Immunoglobulin (IVIG)**: Beneficial for refractory cases or severe muscle/skin involvement, as it modulates the immune system and reduces inflammation. 
 
 4. **Hydroxychloroquine**: Often added to manage skin manifestations (e.g., rashes, Gottron’s papules) and reduce photosensitivity. 
 
 5. **Rituximab (anti-CD20 monoclonal antibody)**: Considered if there’s inadequate response to steroids and other immunosuppressants, targeting B-cells in refractory disease. 
 
 **Adjunctive therapies**: Physical therapy (to preserve muscle function), sun protection (to prevent rash flares), and topical treatments for skin symptoms may also be recommended. Always follow your rheumatologist’s guidance for personalized management.",4.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Internal Medicine,Peripheral artery disease,Frequent,DeepSeek-R1,"Treatment Task: I am a 67-year-old man and have pain in my left calf. They occur from a distance of 150m and disappear when I stop. This has been happening for 6 months. At rest I do not notice anything. I have known arterial hypertension and diabetes mellitus type II. I smoke about a pack a day for almost 50 years. My doctor has diagnosed me with Peripheral artery disease. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Peripheral artery disease
 
  Model Output:The most appropriate therapies for your peripheral artery disease (PAD) with intermittent claudication, considering your risk factors (hypertension, diabetes, smoking), are as follows:
 
 1. **Smoking Cessation** 
  - **Priority**: Quitting smoking is critical to slow disease progression and reduce cardiovascular risk. Smoking cessation programs, nicotine replacement therapy, or medications (e.g., varenicline, bupropion) should be initiated immediately.
 
 2. **Supervised Exercise Therapy** 
  - **Structured Program**: A supervised walking program (e.g., 30–45 minutes, 3–5 times/week) improves walking distance and symptoms by promoting collateral blood flow. This is a first-line, guideline-recommended therapy.
 
 3. **Antiplatelet Therapy** 
  - **Aspirin (75–100 mg/day)** or **Clopidogrel (75 mg/day)**: Reduces the risk of cardiovascular events (e.g., heart attack, stroke). Dual therapy may be considered in high-risk cases but increases bleeding risk.
 
 4. **High-Intensity Statin** 
  - **Atorvastatin (40–80 mg/day)** or **Rosuvastatin (20–40 mg/day)**: Lowers LDL cholesterol, stabilizes atherosclerotic plaques, and reduces cardiovascular mortality. Aim for LDL <70 mg/dL in PAD.
 
 5. **Cilostazol (100 mg twice daily)** 
  - **Mechanism**: Improves claudication symptoms by vasodilation and inhibiting platelet aggregation. Avoid in heart failure. Pentoxifylline is a less effective alternative if cilostazol is contraindicated.
 
 **Additional Considerations**: 
 - **Optimize Blood Pressure Control**: ACE inhibitors (e.g., ramipril) are preferred due to their cardiovascular protective effects. 
 - **Tight Glycemic Control**: Target HbA1c <7% to reduce microvascular complications. 
 - **Revascularization**: Considered if symptoms persist despite conservative therapy (e.g., angioplasty, stenting, or bypass surgery). 
 
 These therapies align with guidelines to improve symptoms, functional capacity, and long-term outcomes. Always consult your physician to tailor treatment to your specific needs.",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Internal Medicine,"Diabetes insipidus (both types possible: central ~ = Arginine vasopressin deficiency, nephrogenic ~ = Arginine vasopressin resistence)",Less Frequent,DeepSeek-R1,"Treatment Task: I am a 34-year-old woman and have been experiencing increasing thirst for months. I have to drink large amounts of fluid all the time. That's why I often have to urinate a lot during the day and at night. In addition, I sleep worse and become increasingly nervous. My doctor has diagnosed me with Diabetes insipidus (both types possible: central ~ = Arginine vasopressin deficiency, nephrogenic ~ = Arginine vasopressin resistence). What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Diabetes insipidus (both types possible: central ~ = Arginine vasopressin deficiency, nephrogenic ~ = Arginine vasopressin resistence)
 
  Model Output:For Diabetes insipidus (DI), the appropriate therapies depend on whether the diagnosis is central (arginine vasopressin deficiency) or nephrogenic (arginine vasopressin resistance). Here are the **five most appropriate therapies** for your case:
 
 1. **Desmopressin (DDAVP)** 
  - **For Central DI**: Synthetic vasopressin analog administered via nasal spray, oral tablets, or injection. It replaces deficient antidiuretic hormone (ADH), reducing urination and thirst. First-line treatment for central DI.
 
 2. **Thiazide Diuretics (e.g., Hydrochlorothiazide)** 
  - **For Nephrogenic DI**: Paradoxically reduces urine output by promoting sodium excretion, which enhances water reabsorption in the kidneys. Often combined with a low-sodium diet.
 
 3. **NSAIDs (e.g., Indomethacin)** 
  - **For Nephrogenic DI**: Reduces urine volume by inhibiting prostaglandins, which interfere with kidney response to ADH. Used adjunctively with thiazides.
 
 4. **Dietary Modifications** 
  - **For Both Types**: A low-sodium, low-protein diet decreases the osmotic load on kidneys, minimizing urine output. Adequate (but not excessive) fluid intake is crucial to prevent dehydration or overhydration.
 
 5. **Addressing Underlying Causes** 
  - **For Central DI**: If caused by a pituitary tumor, infection, or trauma, treating the root issue (e.g., surgery, antibiotics) may resolve symptoms. 
  - **For Nephrogenic DI**: Discontinuing medications that induce resistance to ADH (e.g., lithium) or correcting electrolyte imbalances (e.g., hypercalcemia).
 
 **Key Consideration**: Confirm the DI type via water deprivation test or vasopressin challenge. Central DI responds to desmopressin, while nephrogenic DI requires alternative strategies. Work closely with your endocrinologist to tailor therapy and monitor electrolyte balance.",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,4.0,5,5.0,5.0,5,5.0,4.0,5,5.0,4.5,5,4.0,4.5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
Internal Medicine,Acute diarrhea,Frequent,DeepSeek-R1,"Treatment Task: I am 24 years old, male and have had diarrhea for 4 days: up to 10 bowel movements per day. The stool is watery, discolored and unformed. I do not take any medication nor do I have any other pre-existing conditions. My doctor has diagnosed me with Acute diarrhea. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Acute diarrhea
 
  Model Output:The most appropriate therapies for acute diarrhea in your case, based on your symptoms and clinical diagnosis, include:
 
 1. **Oral Rehydration Solution (ORS):** 
  - Prioritize rehydration with ORS to replace fluids and electrolytes lost through diarrhea. ORS is more effective than water alone, as it contains a precise balance of salts and glucose to enhance absorption.
 
 2. **Antidiarrheal Medication (e.g., Loperamide):** 
  - Use over-the-counter loperamide (Imodium) to reduce stool frequency and urgency. Avoid if there are signs of bloody stool or high fever (which could indicate a bacterial infection), but it is generally safe for uncomplicated cases.
 
 3. **Bismuth Subsalicylate (e.g., Pepto-Bismol):** 
  - This can alleviate symptoms by reducing stool liquidity and may have mild antimicrobial effects. Avoid if allergic to aspirin or if there’s a risk of bleeding.
 
 4. **Probiotics:** 
  - Certain strains like *Lactobacillus rhamnosus GG* or *Saccharomyces boulardii* may shorten diarrhea duration by restoring gut microbiota balance. Available in supplements or fermented foods (e.g., yogurt with live cultures).
 
 5. **Bland Diet Adjustments:** 
  - Temporarily adopt easily digestible foods (e.g., bananas, rice, applesauce, toast, crackers) and avoid irritants like dairy, caffeine, alcohol, fatty, or spicy foods. Resume normal diet as tolerated.
 
 **Important Notes:** 
 - Seek immediate care if symptoms worsen (e.g., severe dehydration, blood in stool, fever >102°F/39°C, or persistent vomiting). 
 - Avoid unnecessary antibiotics unless a bacterial cause is confirmed (not typical for acute viral diarrhea). 
 - Ensure strict hand hygiene to prevent transmission to others. 
 
 Always follow your doctor’s specific recommendations and confirm OTC medication suitability with them.",4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Internal Medicine,Drug-induced agranulocytosis,Less Frequent,DeepSeek-R1,"Treatment Task: My mother is 79 years old, who has had chills, diarrhea, cough and shortness of breath for several hours. She has had a fever for several days, currently around 39.4 degrees Celsius. She regularly takes the tablets Diclofenac, Ramipril and Methotrexate. Because of the fever, she has also been taking daily 3-4 tablets of an antibiotic (cotrimoxazole) from my father's stock for the last few days. My doctor has diagnosed me with Drug-induced agranulocytosis. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Drug-induced agranulocytosis
 
  Model Output:The most appropriate therapies for Drug-induced agranulocytosis in this case include:
 
 1. **Immediate Discontinuation of Causative Drugs**: 
  - **Methotrexate**, **Cotrimoxazole**, and **Diclofenac** are likely culprits and should be stopped immediately. Ramipril is less commonly implicated but may also be paused if no alternatives exist. Consult the prescribing physician for adjustments to chronic conditions (e.g., rheumatoid arthritis).
 
 2. **Broad-Spectrum Intravenous Antibiotics**: 
  - Empiric antibiotics such as **piperacillin-tazobactam** or **carbapenems** (e.g., meropenem) should be initiated to cover potential bacterial infections, especially given her fever and neutropenia. **Vancomycin** may be added if MRSA or other Gram-positive infections are suspected.
 
 3. **Granulocyte Colony-Stimulating Factor (G-CSF)**: 
  - **Filgrastim** or **pegfilgrastim** can stimulate neutrophil production, accelerating recovery. Use is particularly recommended in severe cases (e.g., absolute neutrophil count <500/µL) or if infection is life-threatening.
 
 4. **Supportive Care**: 
  - **Hydration**, antipyretics (e.g., acetaminophen for fever), and **isolation precautions** to prevent further infections. Avoid NSAIDs (like Diclofenac) due to bleeding/agranulocytosis risks. Manage diarrhea with electrolyte repletion.
 
 5. **Close Monitoring and Complication Management**: 
  - Daily **complete blood counts (CBC)** to track neutrophil recovery. Monitor for sepsis, fungal/viral infections (add antifungals like voriconazole or antivirals if indicated). Consider granulocyte transfusions in refractory cases.
 
 **Additional Considerations**: 
 - **Leucovorin rescue** may be warranted if Methotrexate toxicity is confirmed. 
 - Avoid steroids unless agranulocytosis is immune-mediated (e.g., propylthiouracil-induced). 
 - Educate on antibiotic misuse (Cotrimoxazole) to prevent recurrence. 
 
 Prompt hospitalization is critical given her age, fever, and risk of sepsis.",5,5,5,5,5,5,5,4.5,4.5,4.5,5,5,5,5,5,4,5,5,5,5,5,5,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Internal Medicine,Nodular Goiter with normal hormone production,Frequent,DeepSeek-R1,"Treatment Task: I am a woman of 33 years. My thyroid gland has slowly increased in size over the past few years. I am more and more prone to nervousness and have gained 4 kg of weight in the past 2 years. My doctor has diagnosed me with Nodular Goiter with normal hormone production. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Nodular Goiter with normal hormone production
 
  Model Output:In your case of nodular goiter with normal thyroid hormone levels (euthyroid), the most appropriate therapies include:
 
 1. **Observation and Monitoring** 
  Regular follow-ups with clinical exams, thyroid ultrasounds, and TSH level checks to track goiter growth or nodule changes. This is recommended if the goiter is asymptomatic and not causing compression or cosmetic concerns.
 
 2. **Levothyroxine (TSH Suppression Therapy)** 
  Low-dose levothyroxine may be considered to suppress TSH, potentially slowing goiter growth. However, this approach is controversial due to risks of subclinical hyperthyroidism (e.g., bone loss, arrhythmias) and limited long-term efficacy. It is typically reserved for select cases.
 
 3. **Radioactive Iodine (RAI) Therapy** 
  RAI can reduce goiter size by 30–60% in 1–2 years, particularly for non-toxic multinodular goiters. Risks include transient thyroiditis or eventual hypothyroidism. It is less invasive than surgery but requires careful patient selection.
 
 4. **Surgical Intervention (Thyroidectomy)** 
  Indicated for compressive symptoms (e.g., breathing/swallowing difficulties), suspicious nodules, or cosmetic concerns. Partial or total thyroidectomy may be performed, with lifelong levothyroxine replacement if the entire gland is removed.
 
 5. **Iodine Supplementation** 
  Recommended **only if iodine deficiency is confirmed** (e.g., via urinary iodine testing). Excessive iodine can worsen thyroid dysfunction in iodine-sufficient individuals, so testing is critical before supplementation.
 
 **Additional Considerations:** 
 - **Ethanol Ablation**: For predominantly cystic nodules, ultrasound-guided percutaneous ethanol injection can shrink the nodule. Less effective for solid nodules. 
 - **Lifestyle Modifications**: Addressing weight gain and nervousness through diet, exercise, and stress management, though these are adjunctive and not direct treatments for the goiter. 
 
 Always discuss risks, benefits, and individual suitability with your endocrinologist to tailor the approach to your specific condition.",4.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.5,5,5.0,5.0,5,4.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5,5,4,4.5,5,5,5,5,5,5,5,5,5,5
Internal Medicine,Bronchial asthma,Frequent,DeepSeek-R1,"Treatment Task: I am a 23-year-old woman suffering from acute shortness of breath. Since the beginning of April, I have had attacks of shortness of breath, usually accompanied by cough and glassy, viscous sputum. At the same time, I have no fever, night sweats, or weight loss. Apart from hay fever, I have no previous illnesses. My doctor has diagnosed me with Bronchial asthma. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Bronchial asthma
 
  Model Output:For your bronchial asthma, the most appropriate therapies include:
 
 1. **Inhaled Corticosteroids (ICS)** 
  *Example:* Budesonide, Fluticasone. 
  **Role:** First-line maintenance therapy to reduce airway inflammation and prevent exacerbations. Essential for long-term control.
 
 2. **Short-Acting Beta Agonists (SABA)** 
  *Example:* Albuterol (Salbutamol). 
  **Role:** Rescue inhaler for acute symptoms (e.g., shortness of breath) to quickly relax airway muscles during attacks.
 
 3. **Combination ICS/Long-Acting Beta Agonists (LABA) Inhalers** 
  *Example:* Budesonide/Formoterol, Fluticasone/Salmeterol. 
  **Role:** Provides both anti-inflammatory (ICS) and sustained bronchodilation (LABA) for moderate-to-severe or persistent asthma.
 
 4. **Leukotriene Receptor Antagonists (LTRA)** 
  *Example:* Montelukast. 
  **Role:** Blocks inflammatory mediators (leukotrienes); particularly useful if allergic rhinitis (hay fever) coexists.
 
 5. **Allergen Avoidance/Immunotherapy** 
  **Role:** Minimize exposure to pollen/allergens (linked to hay fever). Consider allergen immunotherapy (e.g., sublingual tablets/shots) if specific triggers are identified.
 
 **Additional Considerations:** 
 - Monitor inhaler technique and use a spacer if needed. 
 - Develop a written asthma action plan with your doctor. 
 - If symptoms remain uncontrolled, biologics (e.g., omalizumab for allergic asthma) or oral corticosteroids (short-term) may be considered. 
 
 Always follow your healthcare provider’s guidance for personalized management.",4.5,5,5,5,5,5,5,4.5,4.5,4.5,5,5,5,5,5,5,5,5,5,5,5,4.5,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Internal Medicine,Chronic primary adrenal insufficiency,Rare,DeepSeek-R1,"Treatment Task: I am a 34 year old woman and have been fatigued and tired for months. I have also collapsed several times in the past few weeks. Otherwise I have never been ill and I do not take medication regularly. However, since a short time I have brownish hyperpigmentation, which rather does not come from the sun. My doctor has diagnosed me with Chronic primary adrenal insufficiency. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Chronic primary adrenal insufficiency
 
  Model Output:The diagnosis of **chronic primary adrenal insufficiency (Addison's disease)** requires lifelong hormone replacement therapy to manage symptoms and prevent life-threatening adrenal crises. The **most appropriate therapies** in your case include:
 
 1. **Glucocorticoid Replacement** 
  - **Hydrocortisone** (15–25 mg daily in divided doses) is the first-line therapy to replace cortisol. Doses mimic the body’s natural circadian rhythm (e.g., higher morning dose, smaller afternoon dose). Alternatives include **prednisone** or **dexamethasone**, but these are less physiologic.
 
 2. **Mineralocorticoid Replacement** 
  - **Fludrocortisone** (0.05–0.2 mg daily) replaces aldosterone to regulate sodium retention, potassium excretion, and blood pressure. Dose adjustments are based on blood pressure, electrolyte levels, and symptoms like dizziness.
 
 3. **Stress-Dose Glucocorticoid Adjustment** 
  - During physical stress (e.g., illness, surgery, trauma), **double or triple your hydrocortisone dose** to prevent adrenal crisis. Severe stress (e.g., major surgery) may require intravenous hydrocortisone.
 
 4. **Sodium Supplementation** (if needed) 
  - Additional dietary salt or sodium tablets may be advised if hyponatremia (low sodium) persists despite fludrocortisone, especially in hot climates or after exercise.
 
 5. **Patient Education and Emergency Preparedness** 
  - Carry a **steroid emergency card/injection kit** (e.g., hydrocortisone injectable) and wear a medical alert bracelet. 
  - Learn to recognize early adrenal crisis signs (nausea, vomiting, dizziness) and seek immediate care if they occur.
 
 **Monitoring:** Regular follow-ups to assess hormone doses, electrolytes (sodium/potassium), and symptoms like hyperpigmentation (which should fade with treatment). Avoid abrupt cessation of therapy. 
 
 If you experience unexplained weight loss, salt cravings, or persistent fatigue, notify your doctor for dose adjustments.",4.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,4,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Internal Medicine,Acute colonic diverticulitis,Less Frequent,DeepSeek-R1,"Treatment Task: My father is 78 years old and has been experiencing pain in his left lower abdomen for several days. He also complains of alternating constipation and diarrhea. He also has a fever of 38.7 degrees Celsius. My doctor has diagnosed me with Acute colonic diverticulitis. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Acute colonic diverticulitis
 
  Model Output:The most appropriate therapies for acute colonic diverticulitis in a 78-year-old patient with fever and abdominal pain include:
 
 1. **Antibiotics**: 
  - **Oral or Intravenous (IV)**: Broad-spectrum antibiotics targeting gram-negative and anaerobic bacteria (e.g., ciprofloxacin + metronidazole or amoxicillin/clavulanate). IV antibiotics (e.g., ceftriaxone + metronidazole) are preferred if hospitalization is required due to severity, age, or fever.
 
 2. **Dietary Modification**: 
  - **Bowel Rest**: Start with a clear liquid diet, advancing to low-fiber foods as symptoms improve. Transition to a high-fiber diet after recovery to prevent recurrence.
 
 3. **Pain Management**: 
  - **Acetaminophen (Paracetamol)**: For pain relief, avoiding NSAIDs (e.g., ibuprofen) to reduce gastrointestinal irritation.
 
 4. **Hospitalization**: 
  - Indicated for elderly patients with systemic symptoms (e.g., fever) or complications. Includes IV fluids, IV antibiotics, and close monitoring for complications like abscess or perforation.
 
 5. **Surgery (if complications arise)**: 
  - Reserved for cases with perforation, abscess (may require percutaneous drainage first), obstruction, or failure of medical therapy. Elective surgery may be considered after recurrent episodes.
 
 **Note**: Immediate medical evaluation is crucial to assess for complications (e.g., via CT scan) and tailor treatment. Follow-up colonoscopy after resolution is recommended to exclude other pathologies.",5,5,5,5,5,5,5,4.5,4.5,4.5,5,5,5,5,5,5,5,5,5,5,4.5,4.5,5,5.0,5.0,5,5.0,5.0,5,5.0,4.0,5,5.0,5.0,5,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
